Name,OnStreetName,AtCrossStreet,Latitude,Longitude
K070EBV-02,I70 E,AT I-635,39.104794,-94.682033
K070EBV-04,I70 E,EAST OF I-635,39.103344,-94.676226
K070EBV-07,I70 E,AT KAW DRIVE,39.098954,-94.667128
K070EBV-08,I70 E,EAST OF KAW DRIVE,39.097423,-94.66109
K070EBVR-10,I70 E,3rd Street,39.113335,-94.617561
K070EBVR-101,I70 E,East of K-7,39.100803,-94.864655
K070EBVR-11,I70 E,I-670,39.099556,-94.622368
K070EBVR-13,I70 E,I-Mill St,39.09153,-94.63044
K070EBVR-14,I70 E,18th Street,39.096054,-94.649673
K070EBVR-15,I70 E,West of I-635,39.105556,-94.69474
K070EBVR-16,I70 E,61st St,39.105423,-94.718964
K070EBVR-17,I70 E,72nd Street,39.106174,-94.745674
K070EBVR-18,I70 E,78th Street,39.104996,-94.759781
K070EBVR-21,I70 E,East of I-435,39.104736,-94.783577
K070EBVR-61,I70 E,I-435,39.10656,-94.811943
K070EBVR-71,I70 E,110th Street,39.105919,-94.83477
K070WBRV-02B,I70 W,I-635S TO I-70 W,39.105785,-94.682418
K070WBRV-02D,I70 W,I-635N TO I-70W,39.105569,-94.681441
K070WBRV-03C,I70 W,I-70W TO I-635S,39.103794,-94.674552
K070WBRV-03D,I70 W,I70W TO I-635N,39.10478,-94.675586
K070WBRV-04A,I70 W,I-635 CD,39.102985,-94.673702
K070WBRV-06A,I70 W,KAW DRIVE CD,39.100203,-94.668813
K070WBV-01,I70 W,WEST OF I-635,39.105434,-94.687026
K070WBV-02,I70 W,AT I-635,39.105642,-94.682293
K070WBV-04,I70 W,EAST OF I-635,39.103154,-94.67435
K070WBV-06,I70 W,AT KAW DRIVE,39.100203,-94.668813
K070WBV-08,I70 W,EAST OF KAW DRIVE,39.09781,-94.66099
K070WBVR-10,I70 W,3rd Street,39.113499,-94.617559
K070WBVR-101,I70 W,East of K-7,39.100983,-94.864685
K070WBVR-11,I70 W,I-670,39.099594,-94.622475
K070WBVR-13,I70 W,Mill St,39.09182,-94.630486
K070WBVR-14,I70 W,18th Street,39.096317,-94.649673
K070WBVR-15,I70 W,West of I-635,39.105736,-94.694687
K070WBVR-16,I70 W,61st St,39.105633,-94.718918
K070WBVR-17,I70 W,72nd Street,39.106312,-94.745674
K070WBVR-18,I70 W,78th Street,39.105164,-94.759743
K070WBVR-21,I70 W,East of I-435,39.1049,-94.783577
K070WBVR-61,I70 W,I-435,39.106739,-94.811943
K070WBVR-71,I70 W,110th Street,39.106113,-94.83477
