Name,OnStreetName,AtCrossStreet,Latitude,Longitude
M070WBVR-01,I70 W,BROADWAY,39.107,-94.5911
M070WBVR-04,I70 W,WYANDOTTE,39.1071,-94.586
M070WBVR-04A,I70 W,Walnut,39.106812,-94.581551
M070WBVR-05,I70 W,GRAND AVE,39.1068,-94.5803
M070WBVR-07,I70 W,BURLINGTON,39.1067,-94.5767
M070WBVR-08,I70 W,CHARLOTTE,39.1066,-94.5737
M070WBVR-10,I70 W,ADMIRAL BLVD,39.1053,-94.572
M070WBVR-11,I70 W,11TH ST,39.1025,-94.5725
M070WBVR-12,I70 W,11TH ST,39.1003,-94.5723
M070WBVR-16,I70 W,TROOST AVE,39.0961,-94.5713
M070WBVR-17,I70 W,PASEO BLVD,39.0963,-94.5658
M070WBVR-21,I70 W,BROOKLYN AVE,39.0957,-94.5587
M070WBVR-22,I70 W,PROSPECT AVE,39.0958,-94.5559
M070WBVR-25,I70 W,BENTON BLVD,39.0959,-94.544
M070WBVR-29,I70 W,18TH ST,39.0901,-94.5422
M070WBVR-30,I70 W,23RD ST,39.0847,-94.541
M070WBVR-31,I70 W,23RD ST,39.0831,-94.5411
M070WBVR-32,I70 W,27TH ST,39.0773,-94.5371
M070WBVR-35,I70 W,JACKSON AVE,39.0731,-94.5345
M070WBVR-36,I70 W,LISTER AVE,39.0722,-94.5251
M070WBVR-39,I70 W,VAN BRUNT BLVD,39.0712,-94.5204
M070WBVR-41,I70 W,31ST ST,39.0696,-94.5131
M070WBVR-42,I70 W,31ST ST,39.06794,-94.508858
M070WBVR-43,I70 W,Manchester Trwy,39.0635,-94.4995
M070WBVR-48,I70 W,I-435,39.058773,-94.48922
M070WBVR-52,I70 W,Before Stadium Drive,39.05402,-94.479034
M070WBVR-54,I70 W,EAST OF BLUE RIDGE CUTOFF,39.0482,-94.4669
M070WBVR-62,I70 W,US-40 Hwy,39.0473,-94.4434
M070WBVR-66,I70 W,East of Chrysler Ave,39.046467,-94.424431
M070WBVR-67,I70 W,NOLAND ROAD,39.04582,-94.41609
M070WBVR-69,I70 W,East of Phelps Road,39.045429,-94.399109
M070WBVR-72,I70 W,West of I-470,39.043808,-94.376244
M070WBVR-74,I70 W,I-470,39.042,-94.3628
M071NBV-19,US71 N,Before Bannister Road,38.945217,-94.53788
M071NBVR-04,US71 N,South of 75th Street,38.982971,-94.549072
M071NBVR-20,US71 N,South of 85th Street,38.966637,-94.543739
M071NBVR-22,US71 N,75th Street,38.990566,-94.552536
M071SBV-19,US71 S,After Bannister Road,38.945454,-94.538239
M071SBVR-04,US71 S,South of 75th Street,38.982765,-94.54924
M071SBVR-20,US71 S,South of 85th Street,38.966637,-94.543983
M071SBVR-22,US71 S,75th Street,38.990566,-94.552879
M435EBV-01,I435 E,STATE LINE RD,38.93749,-94.60582
M435EBVR-01,I435 E,STATELINE,38.93749,-94.60582
M435EBVR-03,I435 E,WEST OF WORNALL,38.93972,-94.59884
M435EBVR-05,I435 E,EAST OF WORNALL RD,38.94053,-94.59477
M435EBVR-07,I435 E,WEST OF HOLMES RD,38.94032,-94.58422
M435EBVR-11,I435 E,EAST OF HOLMES RD,38.94012,-94.57991
M435EBVR-12,I435 E,WEST OF 104TH ST,38.93994,-94.57479
M435EBVR-14,I435 E,AT 104TH ST,38.93961,-94.56685
M435EBVR-15,I435 E,EAST OF 104TH ST,38.9394,-94.55998
M435EBVR-17,I435 E,GRANDVIEW RD,38.93848,-94.55031
M435EBVX-01,I435 E,STATE LINE RTMS,38.93749,-94.60582
M435NBRV-18A,I435 N,I-435 NB AT CURVE N FF,38.9428,-94.5356
M435NBV-18,I435 E,I-435 NB AT CURVE N,38.94205,-94.53565
M435NBV-20,I435 E,S OF BANNISTER RD,38.94669,-94.53348
M435NBV-22,I435 E,I435NB/I470EB SPLIT,38.93858,-94.54107
M435NBV-26,I435 E,AT 350 HWY,39.01629,-94.49673
M435NBVR-22,I435 E,NORTH OF 87TH ST,38.96979,-94.51757
M435NBVR-24,I435 E,GREGORY BLVD,38.99257,-94.50219
M435NBVR-25,I435 E,SOUTH OF 63RD ST,39.00542,-94.50198
M435NBVR-26,I435 N,North of 350 Hwy,39.023087,-94.500763
M435NBVR-29,I435 E,RAYTOWN RD,39.050156,-94.499084
M435NBVR-29A,I435 N,Stadium Drive,39.055595,-94.493698
M435NBVR-30,I435 E,AT 40 HWY,39.06313,-94.48719
M435NBVR-32,I435 N,23rd Street,39.0811,-94.4908
M435NBVR-33,I435 N,Truman Road,39.0939,-94.4877
M435NBVR-34,I435 N,South of Winner Road,39.1021,-94.4864
M435NBVR-35,I435 N,North of Winner Road,39.1097,-94.4859
M435NBVR-36,I435 N,Front Street,39.1264,-94.4972
M435NBVR-38,I435 N,South of 210 Highway,39.1449,-94.4984
M435NBVR-39,I435 N,210 Highway,39.157,-94.4979
M435NBVR-40,I435 N,Parvin Road,39.1711,-94.493
M435NBVR-41,I435 N,48th Street,39.1803,-94.4928
M435NBVR-43,I435 N,I-35,39.2089,-94.4907
M435NBVR-44,I435 N,Shoal Creek,39.2241,-94.4993
M435SBRV-16A,I435 W,RAMP FROM US71 SB,38.9408,-94.53949
M435SBV-15A,I435 W,I-435 SB TO WB TURN,38.93947,-94.53984
M435SBV-20,I435 W,N OF HICKMAN MILLS R,38.94678,-94.53406
M435SBV-21,I435 W,S OF BANNISTER RD,38.95063,-94.53172
M435SBVR-22,I435 W,NORTH OF 87TH ST,38.96979,-94.51757
M435SBVR-24,I435 W,GREGORY BLVD,38.99257,-94.50219
M435SBVR-25,I435 W,SOUTH OF 63RD ST,39.00542,-94.50198
M435SBVR-26,I435 S,North of 350 Hwy,39.023098,-94.501022
M435SBVR-29,I435 W,RAYTOWN RD,39.050205,-94.499344
M435SBVR-29A,I435 S,Stadium Drive,39.055683,-94.494026
M435SBVR-30,I435 W,AT 40 HWY,39.06313,-94.48719
M435SBVR-32,I435 S,23rd Street,39.0812,-94.491
M435SBVR-33,I435 S,Truman Road,39.0939,-94.488
M435SBVR-34,I435 S,South of Winner Road,39.1022,-94.4866
M435SBVR-35,I435 S,North of Winner Road,39.1097,-94.4862
M435SBVR-36,I435 S,Front Street,39.1263,-94.4974
M435SBVR-38,I435 S,South of 210 Highway,39.1449,-94.4986
M435SBVR-39,I435 S,210 Highway,39.157,-94.498
M435SBVR-40,I435 S,Parvin Road,39.1711,-94.4933
M435SBVR-41,I435 S,48th Street,39.1803,-94.4931
M435SBVR-43,I435 S,I-35,39.2089,-94.491
M435SBVR-44,I435 S,Shoal Creek,39.224,-94.4997
M435WBRV-15B,I435 W,SB US71/BANNISTER CD,38.9396,-94.5399
M435WBVR-01,I435 W,STATE LINE RD,38.93782,-94.60582
M435WBVR-03,I435 W,WEST OF WORNALL RD,38.94003,-94.59897
M435WBVR-05,I435 W,EAST OF WORNALL RD,38.94053,-94.59485
M435WBVR-07,I435 W,WEST OF HOLMES RD,38.94074,-94.58397
M435WBVR-11,I435 W,EAST OF HOLMES RD,38.94057,-94.57971
M435WBVR-12,I435 W,WEST OF 104TH ST,38.94032,-94.57461
M435WBVR-14,I435 W,AT 104TH ST,38.93997,-94.56673
M435WBVR-15,I435 W,EAST OF 104TH ST,38.93964,-94.55987
M435WBVR-17,I435 W,GRANDVIEW RD,38.93926,-94.55075
M435WBVX-01,I435 W,STATE LINE RTMS,38.93782,-94.60582
M470EBRV-08,I470 E,I470/US71 SPLIT FF,38.93425,-94.53189
M470EBRV-08B,I470 E,US71SB TO I470EB FF,38.93487,-94.53181
M470EBV-08,I470 E,I470/US71 SPLIT,38.9343,-94.53187
M470EBV-10,I470 E,W OF 71NB TO 470EB F,38.93238,-94.52489
M470EBV-12,I470 E,EAST OF HILLCREST RD,38.93544,-94.51662
M470EBV-22,I470 E,I470EB/I435NB SPLIT,38.93823,-94.54118
M470EBVR-02,I470 E,View High Road,38.936616,-94.451617
M470EBVR-14,I470 E,Blue Ridge Blvd,38.9387,-94.509
M470EBVR-15,I470 E,James A Reed Road,38.938,-94.4886
M470EBVR-16,I470 E,Pryor Road,38.934442,-94.420255
M470EBVR-17,I470 E,Blue Parkway,38.9357,-94.4029
M470EBVR-18,I470 E,Douglas Street,38.9443,-94.3786
M470NBVR-19,I470 N,Colbern Road,38.9524,-94.3605
M470NBVR-22,I470 N,North of Lakewood Blvd,39.0137,-94.3566
M470NBVR-74,I470 N,I-70,39.0414,-94.3623
M470SBVR-19,I470 S,Colbern road,38.9524,-94.3608
M470SBVR-22,I470 S,North of Lakewood Blvd,39.0137,-94.3569
M470SBVR-74,I470 S,I-70,39.0414,-94.3626
M470WBRV-11,I470 W,I-435NB/US71 FF,38.93365,-94.52212
M470WBV-11,I470 W,HILLCREST RD,38.93369,-94.52215
M470WBV-15,I470 W,WEST OF I-435 MERGE,38.93947,-94.53984
M470WBVR-02,I470 W,View High Road,38.936616,-94.451617
M470WBVR-14,I470 W,Blue Ridge Blvd,38.9388,-94.509
M470WBVR-15,I470 W,James A Reed Road,38.9382,-94.4887
M470WBVR-16,I470 W,Pryor Road,38.093444,-94.420255
M470WBVR-17,I470 W,Blue Parkway,38.9359,-94.403
M470WBVR-18,I470 W,Douglas Street,38.9446,-94.3785
M635NBVR-05,I635 N,High Drive,39.1766,-94.6221
M635SBVR-05,I635 S,High Drive,39.1766,-94.6224
M670EBRV-05,I670 E,I-670EB TO I-70WB FF,39.09622,-94.57471
M670EBVR-01,I670 E,AT I-35,39.0963,-94.5915
M670EBVR-03,I670 E,AT BALTIMORE,39.09645,-94.58436
M670EBVR-04,I670 E,BEFORE LOCUST,39.09566,-94.57792
M670EBVR-05,I670 E,CHARLOTTE,39.09622,-94.57471
M670WBVR-01,I670 W,AT I-35,39.0963,-94.5915
M670WBVR-03,I670 W,AT BALTIMORE,39.09642,-94.58436
M670WBVR-05,I670 W,PAST CHARLOTTE,39.097,-94.57471
